name,start,end
Philip II of Macedon,-382,-336
Alexander the Great,-356,-323
Aristoteles,-384,-322
Plato,-428,-348
Socrates,-470,-399
Macedonia,-808,-168
Marcus Aurelius,121,180
First Hieroglyphs,-4000,-3900
Indus Valley Civ,-3300,-1300
Nero,54,68
Claudius,41,54
Caligula,37,41
Tiberius,14,37
Augustus,-27,14
Jesus,-4,30
Muhammad,570,632
Epic of Gilgamesh,-2100,-1800
Pyramid Texts,-2400,-2300
Hammurabi,-1792,-1750
Ramses II,-1279,-1213
Tutankhamun,-1332,-1323
Cleopatra,-69,-30
Julius Caesar,-100,-44
Constantine,272,337
Charlemagne,742,814
Genghis Khan,1162,1227
Marco Polo,1254,1324
Leonardo da Vinci,1452,1519
Michelangelo,1475,1564
Galileo,1564,1642
Isaac Newton,1642,1727
Napoleon,1769,1821
Beethoven,1770,1827
Mozart,1756,1791
Shakespeare,1564,1616
Christopher Columbus,1451,1506
Martin Luther,1483,1546
Copernicus,1473,1543
Gutenberg,1398,1468
Magna Carta,1215,1215
Black Death,1347,1351
Hundred Years War,1337,1453
Crusades,1096,1291
Viking Age,793,1066
Byzantine Empire,330,1453
Ottoman Empire,1299,1922
Ming Dynasty,1368,1644
Mongol Empire,1206,1368
Roman Republic,-509,-27
Roman Empire,-27,476
Han Dynasty,-206,220
Sumerian Civilization,-4500,-1900
Ancient Egypt,-3100,-332
Babylonian Empire,-1894,-539
Assyrian Empire,-2500,-609
Persian Empire,-550,-330
Mauryan Empire,-322,-185
Gupta Empire,320,550
Tang Dynasty,618,907
Song Dynasty,960,1279
Yuan Dynasty,1271,1368
Qing Dynasty,1644,1912
Aztec Empire,1428,1521
Inca Empire,1438,1533
Maya Civilization,-2000,1697
Olmec Civilization,-1200,-400
Zapotec Civilization,-500,900
Teotihuacan,-100,650
Toltec Civilization,900,1150
Moche Civilization,100,700
Nazca Civilization,-100,800
Wari Empire,600,1000
Tiwanaku Empire,300,1000
Chimu Empire,900,1470
Kingdom of Kush,-1070,350
Kingdom of Aksum,100,940
Ghana Empire,300,1200
Mali Empire,1235,1600
Songhai Empire,1464,1591
Great Zimbabwe,1100,1450
Kingdom of Kongo,1390,1914
Ethiopian Empire,1270,1974
Swahili Coast,1000,1500
Kingdom of Mapungubwe,1075,1220
Kingdom of Mutapa,1430,1760
Kingdom of Benin,1180,1897
Yoruba Kingdoms,1100,1896
Hausa Kingdoms,1000,1804
Kanem-Bornu Empire,700,1893
Kingdom of Nri,948,1911
Kingdom of Dahomey,1600,1904
Ashanti Empire,1670,1902
Oyo Empire,1400,1895
Kingdom of Kong,1710,1898
Kingdom of Loango,1550,1883
Kingdom of Ndongo,1500,1671
Kingdom of Matamba,1631,1744
Kingdom of Luba,1585,1889
Kingdom of Lunda,1665,1887
Kingdom of Kazembe,1740,1891
Kingdom of Rwanda,1081,1962
Kingdom of Burundi,1680,1966
Kingdom of Buganda,1300,1967
Kingdom of Bunyoro,1300,1967
Kingdom of Toro,1830,1967
Kingdom of Ankole,1478,1967
Kingdom of Busoga,1300,1967
Kingdom of Karagwe,1450,1890
Kingdom of Nkore,1450,1967
Kingdom of Mpororo,1650,1752 
